particles,runs,rmse_mean_m,rmse_std_m,mean_error_m,p90_error_m,final_error_m,runtime_mean_ms,runtime_std_ms
225,12,0.3191341313636537,0.026807121931921456,0.2935285646232415,0.45904505260982287,0.26713609970578517,0.6839083046519336,0.10085724794229016
450,12,0.3168702748422236,0.02231235886166815,0.288294560001322,0.465371560894886,0.20385377096377422,0.8972875842887417,0.10467523747456185
900,12,0.29562010083367096,0.01664175094890762,0.2695663471050641,0.4343598213728273,0.20120799609621068,1.3193470612278508,0.17174887993724358
1800,12,0.2921201367515937,0.011820849200657284,0.2660924868028675,0.43078288746410576,0.23039378692070892,2.06474214348071,0.18285941160479985
3600,12,0.28853094233464155,0.011078396506960415,0.2638822051938408,0.4191636958488199,0.22266762939877424,4.166556431138431,0.4962185265082161
7200,12,0.2877591332133458,0.010850273485585581,0.26312892584229036,0.4188317985499496,0.22712248795787127,7.747322631060708,1.7109781352387443
14400,12,0.28680215079322297,0.009788007945452391,0.26240359997142326,0.4145176999797234,0.21525723990387768,14.054656348914852,0.9420198606185696
