name,label,use_bad_intrinsics,rot_deg,trans_m,measurement_noise_px,filter_sigma_px,particles,monte_carlo_runs,trajectory_source,trajectory_duration_s,note,pf_rmse_mean_m,pf_rmse_std_m,pf_mean_error_m,pf_p90_error_m,tri_rmse_mean_m,tri_valid_percent,pixel_residual_median_px,pixel_residual_p90_px,pixel_common_valid_percent,pf_runtime_ms
correct,Correct,False,0.0,0.0,8.0,18.0,450,6,longest_visible_marker_proxy,106.65,Correct UP intrinsics and optical camera extrinsics.,0.9433815701727921,0.20215192880883484,0.6484092866167654,1.3512186720518482,1.8160321445831364,100.0,9.378429797036375,17.14439961222433,89.05029678225554,0.629125947986247
camera0_intrinsics_only,camera0.yaml only,True,0.0,0.0,8.0,18.0,450,6,longest_visible_marker_proxy,106.65,Use old 1600x1200 camera0.yaml on 640x480 detections.,6.654490649771666,0.6030131439364848,6.069182223000841,9.055263928558851,10.945836556728374,100.0,586.4146934547274,632.2833163355186,89.05029678225554,0.5404653206037826
mild_extrinsics,"5 deg, 0.10 m",False,5.0,0.1,8.0,18.0,450,6,longest_visible_marker_proxy,106.65,Small marker-to-optical-frame error.,2.6789511167474647,0.18876659478800092,2.072167560053602,4.009647525930034,4.012166425879324,100.0,23.489647222353778,38.82140952978954,89.05029678225554,0.5076945053123584
marker_like_extrinsics,"15 deg, 0.35 m",False,15.0,0.35,8.0,18.0,450,6,longest_visible_marker_proxy,106.65,Marker-bar/body pose treated approximately as optical pose.,8.692162044659666,0.2050364181486174,7.299987043214806,15.089213440648214,5.967443804484579,100.0,61.34399155993794,112.05646973439052,88.7691346454233,0.5378574870358698
severe_extrinsics,"25 deg, 0.70 m",False,25.0,0.7,8.0,18.0,450,6,longest_visible_marker_proxy,106.65,Large marker-frame/optical-frame calibration error.,8.33131726433153,0.18336079798502594,7.21182316583912,13.670788344247676,6.30630755139259,100.0,100.52081123660817,197.62428209225493,86.6604186191815,0.485885083726687
marker_like_plus_camera0,15 deg + camera0,True,15.0,0.35,8.0,18.0,450,6,longest_visible_marker_proxy,106.65,Marker-like extrinsic error plus wrong camera0.yaml intrinsics.,7.6499031546816125,0.1334794274353835,6.892228848159267,10.662398936557105,13.098176955080062,100.0,635.2638057595526,738.5451301969433,88.7691346454233,0.47232693212979954
severe_plus_camera0,25 deg + camera0,True,25.0,0.7,8.0,18.0,450,6,longest_visible_marker_proxy,106.65,Severe extrinsic error plus wrong camera0.yaml intrinsics.,7.740451776521437,0.29210383148618235,6.88913052901697,11.06412202222105,14.493071781960728,100.0,726.5531771368406,847.001503351269,86.6604186191815,0.4705340268667358
