filter,rmse_mean_m,rmse_std_m,mean_error_m,p90_error_m,final_error_m,runtime_mean_ms,runtime_std_ms
MEKF,0.5413362456331193,0.0307129432378544,0.49898183963198356,0.7838555029040788,0.576803113851963,0.14530144191395492,0.032426971873289856
ItEKF,0.5421963540383243,0.030616026636589966,0.49968731243611336,0.78399704149702,0.5793612213599256,0.3817429934294371,0.03564842076752139
MEKF-gated,0.3189363511689121,0.0280237089586873,0.2833973118884238,0.47594004785384386,0.31565611289569184,0.2567798025597107,0.01684475347942088
ItEKF-gated,0.32512610452598617,0.0230116797185701,0.2909373190045888,0.4846266605524972,0.3192570436569188,0.7052586787708726,0.03800316748185525
PF-candidates,0.18602627356567256,0.009530150651170275,0.17095139106821475,0.2659134746640764,0.16813174668201145,0.9685586656295317,0.05106740809785002
